"","type","sample","control_mean","control_sd","beta","se","arms","alpha_adj","mde","mde_prop"
"1","Logged",5500,5.20497581072227,5.20497581072227,0.0102276415132197,0.0385851649535572,5,0.0125,0.128848471861431,0.128848471861431
"2","Logged",7000,5.21272664629624,5.21272664629624,0.0155198510075235,0.0342543314513399,4,0.0166666666666667,0.110833350242088,0.110833350242088
"3","Logged",9500,5.20419477506268,5.20419477506268,0.00534188858425791,0.0292649336132633,3,0.025,0.0902244915519703,0.0902244915519703
"4","Logged",14000,5.22405072782937,5.22405072782937,0.0011373612197644,0.0239383224689722,2,0.05,0.0670652503754939,0.0670652503754939
"5","OLS",5500,369.330954366352,369.330954366352,-2.66237195710229,13.2747456294293,5,0.0125,44.3287126220644,0.120024363238434
"6","OLS",7000,371.687177315617,371.687177315617,-0.152688905890391,11.8425680779302,4,0.0166666666666667,38.3178255109591,0.103091599198273
"7","OLS",9500,363.15376791129,363.15376791129,5.26403484197746,10.01133466747,3,0.025,30.8651846631807,0.0849920540290809
"8","OLS",14000,372.71173843706,372.71173843706,-2.46102941088482,8.37949029621109,2,0.05,23.4758561491861,0.0629866294193749
"9","Poisson",5500,370.850875558698,370.850875558698,-0.015287880321226,0.0360378022616005,5,0.0125,0.120341995589255,0.120341995589255
"10","Poisson",7000,371.24691863189,371.24691863189,0.00179359187061305,0.0318587490949598,4,0.0166666666666667,0.10308220149421,0.10308220149421
"11","Poisson",9500,367.034768404527,367.034768404527,-0.00682787432095348,0.027364319093033,3,0.025,0.0843648514451376,0.0843648514451376
"12","Poisson",14000,371.347594359436,371.347594359436,0.000742147851576332,0.0225506101208977,2,0.05,0.0631774559741356,0.0631774559741356
